date,open,high,low,close,volume,average,barCount
2025-10-21 10:14:00-04:00,444.1,444.73,444.0,444.46,135675.0,444.452,684
2025-10-21 10:15:00-04:00,444.48,445.03,444.42,444.9,176456.0,444.818,825
2025-10-21 10:16:00-04:00,444.91,445.59,444.9,445.49,195209.0,445.236,1006
2025-10-21 10:17:00-04:00,445.53,446.09,445.36,445.9,232150.0,445.827,1048
2025-10-21 10:18:00-04:00,445.87,446.08,445.52,445.85,168079.0,445.772,763
2025-10-21 10:19:00-04:00,445.88,446.49,445.78,446.15,197866.0,446.137,986
2025-10-21 10:20:00-04:00,446.1,446.59,446.05,446.31,179923.0,446.338,768
2025-10-21 10:21:00-04:00,446.31,446.6,445.83,446.1,160587.0,446.243,736
2025-10-21 10:22:00-04:00,446.15,446.54,445.82,446.41,141627.0,446.164,768
2025-10-21 10:23:00-04:00,446.41,446.46,445.52,445.58,138634.0,446.071,631
2025-10-21 10:24:00-04:00,445.58,446.53,445.45,446.16,172973.0,445.99,786
2025-10-21 10:25:00-04:00,446.15,446.66,445.6,445.82,183188.0,446.223,747
2025-10-21 10:26:00-04:00,445.81,446.22,444.96,445.05,191914.0,445.41,800
2025-10-21 10:27:00-04:00,445.03,445.75,444.94,445.17,116765.0,445.313,585
2025-10-21 10:28:00-04:00,445.29,445.4,444.64,444.71,109409.0,445.083,547
2025-10-21 10:29:00-04:00,444.73,445.24,444.69,444.75,103088.0,444.937,483
2025-10-21 10:30:00-04:00,444.7,445.18,444.5,445.09,131296.0,444.815,664
2025-10-21 10:31:00-04:00,445.05,445.3,444.77,444.95,107291.0,445.094,466
2025-10-21 10:32:00-04:00,445.05,445.28,444.1,444.14,97304.0,444.808,475
2025-10-21 10:33:00-04:00,444.24,444.59,443.96,444.47,129172.0,444.273,677
2025-10-21 10:34:00-04:00,444.45,444.79,444.12,444.66,146951.0,444.519,636
2025-10-21 10:35:00-04:00,444.64,444.87,444.35,444.59,81580.0,444.634,450
2025-10-21 10:36:00-04:00,444.61,445.2,444.49,445.07,124762.0,444.937,602
2025-10-21 10:37:00-04:00,445.02,445.49,444.76,445.2,145076.0,445.214,584
2025-10-21 10:38:00-04:00,445.2,445.35,444.6,445.04,77726.0,444.98,387
2025-10-21 10:39:00-04:00,445.03,445.19,444.73,445.04,51015.0,444.997,282
2025-10-21 10:40:00-04:00,444.96,445.76,444.96,445.3,150406.0,445.375,871
2025-10-21 10:41:00-04:00,445.26,445.67,445.05,445.45,78698.0,445.354,415
2025-10-21 10:42:00-04:00,445.43,445.73,445.15,445.54,84738.0,445.486,432
2025-10-21 10:43:00-04:00,445.51,445.6,444.88,445.29,95568.0,445.185,437
2025-10-21 10:44:00-04:00,445.24,445.33,444.98,445.25,48411.0,445.175,281
2025-10-21 10:45:00-04:00,445.26,445.31,444.29,444.43,132767.0,444.666,705
2025-10-21 10:46:00-04:00,444.42,444.7,444.04,444.24,116209.0,444.259,472
2025-10-21 10:47:00-04:00,444.25,444.48,444.25,444.36,62938.0,444.377,275
2025-10-21 10:48:00-04:00,444.42,444.58,444.12,444.36,77253.0,444.381,362
2025-10-21 10:49:00-04:00,444.4,444.6,443.9,443.95,125068.0,444.21,490
2025-10-21 10:50:00-04:00,443.93,444.33,443.74,443.75,107080.0,444.064,494
2025-10-21 10:51:00-04:00,443.73,444.37,443.7,444.14,67660.0,444.059,342
2025-10-21 10:52:00-04:00,444.1,444.42,443.85,444.29,57038.0,444.102,319
2025-10-21 10:53:00-04:00,444.28,444.47,443.87,444.21,70848.0,444.179,347
2025-10-21 10:54:00-04:00,444.14,444.44,444.06,444.35,44079.0,444.319,262
2025-10-21 10:55:00-04:00,444.32,444.72,444.02,444.65,77599.0,444.482,422
2025-10-21 10:56:00-04:00,444.69,445.04,444.61,444.78,125532.0,444.82,604
2025-10-21 10:57:00-04:00,444.72,445.19,444.72,445.04,75047.0,444.982,391
2025-10-21 10:58:00-04:00,445.07,445.38,445.06,445.28,78685.0,445.22,412
2025-10-21 10:59:00-04:00,445.28,445.9,445.27,445.56,139712.0,445.616,705
2025-10-21 11:00:00-04:00,445.59,445.69,445.06,445.31,103999.0,445.352,527
2025-10-21 11:01:00-04:00,445.31,445.75,445.25,445.4,87662.0,445.466,437
2025-10-21 11:02:00-04:00,445.37,445.48,444.8,444.94,71753.0,445.096,398
2025-10-21 11:03:00-04:00,444.96,445.33,444.71,445.14,97867.0,444.999,489
2025-10-21 11:04:00-04:00,445.11,445.35,445.02,445.18,44365.0,445.222,295
2025-10-21 11:05:00-04:00,445.18,445.33,444.92,445.16,67067.0,445.147,324
2025-10-21 11:06:00-04:00,445.2,445.7,445.02,445.63,71559.0,445.406,405
2025-10-21 11:07:00-04:00,445.6,445.89,445.29,445.72,102984.0,445.652,551
2025-10-21 11:08:00-04:00,445.69,445.72,445.04,445.24,63461.0,445.267,349
2025-10-21 11:09:00-04:00,445.26,445.45,445.2,445.42,58824.0,445.348,280
2025-10-21 11:10:00-04:00,445.38,446.14,445.37,445.75,140183.0,445.904,691
2025-10-21 11:11:00-04:00,445.76,445.88,445.37,445.61,74267.0,445.656,416
2025-10-21 11:12:00-04:00,445.64,445.77,445.53,445.66,41269.0,445.65,228
2025-10-21 11:13:00-04:00,445.74,446.06,445.66,445.74,68615.0,445.91,356
2025-10-21 11:14:00-04:00,445.67,445.83,445.55,445.73,39378.0,445.682,220
2025-10-21 11:15:00-04:00,445.75,445.88,445.25,445.41,71198.0,445.547,375
